,number,name,position,birth (age),nation,시장가치(억)
0,1,Bernd Leno,Goalkeeper,"Mar 4, 1992 (28)",Germany,429.44
1,33,Mathew Ryan,Goalkeeper,"Apr 8, 1992 (28)",Australia,107.36
2,13,Rúnar Alex Rúnarsson,Goalkeeper,"Feb 18, 1995 (25)",Iceland,26.84
3,44,Dejan Iliev,Goalkeeper,"Feb 25, 1995 (25)",North Macedonia,4.026
4,6,Gabriel,Centre-Back,"Dec 19, 1997 (23)",Brazil,375.76
5,21,Calum Chambers,Centre-Back,"Jan 20, 1995 (26)",England,194.59
6,16,Rob Holding,Centre-Back,"Sep 20, 1995 (25)",England,161.04
7,22,Pablo Marí,Centre-Back,"Aug 31, 1993 (27)",Spain,93.94
8,23,David Luiz,Centre-Back,"Apr 22, 1987 (33)",Brazil,80.52
9,3,Kieran Tierney,Left-Back,"Jun 5, 1997 (23)",Scotland,375.76
10,2,Héctor Bellerín,Right-Back,"Mar 19, 1995 (25)",Spain,375.76
11,17,Cédric Soares,Right-Back,"Aug 31, 1991 (29)",Portugal,53.68
12,18,Thomas Partey,Defensive Midfield,"Jun 13, 1993 (27)",Ghana,671.0
13,34,Granit Xhaka,Defensive Midfield,"Sep 27, 1992 (28)",Switzerland,335.5
14,25,Mohamed Elneny,Defensive Midfield,"Jul 11, 1992 (28)",Egypt,93.94
15,8,Dani Ceballos,Central Midfield,"Aug 7, 1996 (24)",Spain,429.44
16,7,Bukayo Saka,Left Midfield,"Sep 5, 2001 (19)",England,536.8
17,11,Martin Ødegaard,Attacking Midfield,"Dec 17, 1998 (22)",Norway,536.8
18,32,Emile Smith Rowe,Attacking Midfield,"Jul 28, 2000 (20)",England,36.234
19,35,Gabriel Martinelli,Left Winger,"Jun 18, 2001 (19)",Brazil,335.5
20,19,Nicolas Pépé,Right Winger,"May 29, 1995 (25)",Cote d'Ivoire,536.8
21,12,Willian,Right Winger,"Aug 9, 1988 (32)",Brazil,201.3
22,24,Reiss Nelson,Right Winger,"Dec 10, 1999 (21)",England,167.75
23,14,Pierre-Emerick Aubameyang,Centre-Forward,"Jun 18, 1989 (31)",Gabon,536.8
24,9,Alexandre Lacazette,Centre-Forward,"May 28, 1991 (29)",France,469.7
25,30,Eddie Nketiah,Centre-Forward,"May 30, 1999 (21)",England,268.4
